Date,Price,Open,High,Low,Vol.,Change %
"Nov 25, 2020","15,520","15,131","15,578","14,715",3.16M,3.36%
"Nov 24, 2020","15,015","15,900","16,122","14,951",3.85M,-5.57%
"Nov 23, 2020","15,900","16,501","17,100","15,777",3.41M,-3.88%
"Nov 20, 2020","16,541","17,000","17,263","16,411",2.41M,-2.45%
"Nov 19, 2020","16,957","16,176","17,339","16,176",3.37M,2.84%
"Nov 18, 2020","16,488","16,575","16,797","16,094",2.67M,-0.52%
"Nov 17, 2020","16,575","17,100","17,125","16,345",3.57M,-3.74%
"Nov 16, 2020","17,219","15,857","17,323","15,411",3.29M,11.51%
"Nov 13, 2020","15,442","15,225","15,830","14,746",2.55M,2.54%
"Nov 12, 2020","15,060","16,000","16,194","14,659",3.22M,-6.54%
"Nov 11, 2020","16,114","16,625","16,765","15,666",2.61M,-2.07%
"Nov 10, 2020","16,454","16,286","16,627","15,793",3.60M,1.55%
"Nov 09, 2020","16,203","17,500","17,600","16,000",3.54M,-5.08%
"Nov 06, 2020","17,070","16,650","17,141","16,368",3.09M,3.32%
"Nov 05, 2020","16,522","15,570","16,690","15,075",3.33M,7.41%
"Nov 04, 2020","15,382","15,280","15,577","14,888",1.90M,0.73%
"Nov 03, 2020","15,270","14,788","15,468","14,769",3.94M,4.55%
"Nov 02, 2020","14,606","14,600","14,798","14,172",2.38M,2.30%
"Oct 30, 2020","14,277","14,672","14,697","13,790",3.75M,-0.75%
"Oct 29, 2020","14,385","15,060","15,368","13,978",2.95M,-2.99%
"Oct 28, 2020","14,828","16,076","16,485","14,755",2.09M,-7.76%
"Oct 27, 2020","16,076","16,685","16,685","15,876",1.51M,-2.83%
"Oct 26, 2020","16,544","16,550","16,894","16,325",1.52M,0.37%
"Oct 23, 2020","16,483","17,699","17,699","16,254",3.66M,-5.44%
"Oct 22, 2020","17,432","17,918","17,918","17,335",2.67M,-3.69%
"Oct 21, 2020","18,100","17,436","18,250","17,287",3.58M,3.81%
"Oct 20, 2020","17,436","16,725","17,591","16,725",2.35M,2.56%
"Oct 19, 2020","17,000","17,199","17,319","16,873",2.39M,0.48%
