Date,Price,Open,High,Low,Vol.,Change %
"Apr 08, 2020",2.93,2.99,3,2.86,7.93M,0.00%
"Apr 07, 2020",2.93,2.88,3,2.84,13.64M,-7.57%
"Apr 06, 2020",3.17,3.17,3.21,3.12,8.83M,0.63%
"Apr 05, 2020",3.15,3.2,3.2,3.1,2.60M,-0.94%
"Apr 02, 2020",3.18,3.15,3.21,3.14,3.13M,2.25%
"Apr 01, 2020",3.11,3.09,3.18,3.06,5.00M,0.00%
"Mar 31, 2020",3.11,3.05,3.14,3.05,3.75M,2.98%
"Mar 30, 2020",3.02,3.04,3.05,2.96,4.10M,-0.66%
"Mar 29, 2020",3.04,3,3.09,2.97,3.66M,0.33%
"Mar 26, 2020",3.03,3.02,3.07,2.96,5.13M,2.36%
"Mar 25, 2020",2.96,2.99,3.04,2.88,7.03M,4.23%
"Mar 24, 2020",2.84,2.84,2.94,2.77,10.13M,-2.07%
"Mar 23, 2020",2.9,2.92,3.11,2.79,21.09M,2.47%
"Mar 22, 2020",2.83,2.87,3,2.66,12.86M,1.80%
"Mar 19, 2020",2.78,2.43,2.9,2.4,12.40M,5.30%
"Mar 18, 2020",2.64,2.82,2.86,2.61,8.93M,-8.65%
"Mar 17, 2020",2.89,2.84,3.1,2.82,4.59M,-7.67%
"Mar 16, 2020",3.13,3.2,3.24,3.08,5.63M,-8.48%
"Mar 15, 2020",3.42,3.61,3.61,3.37,4.53M,-8.56%
"Mar 11, 2020",3.74,3.75,3.89,3.61,6.85M,2.47%
"Mar 10, 2020",3.65,3.72,3.73,3.54,4.87M,0.55%
"Mar 09, 2020",3.63,3.76,3.76,3.51,7.98M,-6.68%
"Mar 08, 2020",3.89,3.74,3.99,3.72,4.89M,-1.77%
"Mar 05, 2020",3.96,3.94,4.07,3.84,18.25M,3.13%
"Mar 04, 2020",3.84,3.91,3.91,3.74,4.53M,-3.27%
"Mar 03, 2020",3.97,3.98,4.05,3.9,2.06M,0.00%
"Mar 02, 2020",3.97,4.06,4.08,3.71,2.66M,0.25%
"Mar 01, 2020",3.96,4.1,4.1,3.84,4.60M,-7.04%
"Feb 27, 2020",4.26,4.4,4.4,4.25,9.79M,-2.52%
"Feb 26, 2020",4.37,4.43,4.43,4.35,600.17K,-1.80%
"Feb 25, 2020",4.45,4.41,4.5,4.33,488.62K,2.30%
