Date,Price,Open,High,Low,Vol.,Change %
"Jun 18, 2020",42.9,44.95,44.95,42.5,946.52K,-5.92%
"Jun 17, 2020",45.6,48.1,48.1,45.2,873.02K,-4.70%
"Jun 16, 2020",47.85,49.15,50.3,47.5,1.83M,-2.15%
"Jun 12, 2020",48.9,50,51.2,48.1,1.39M,-0.51%
"Jun 11, 2020",49.15,52.25,52.25,48.1,2.36M,-8.04%
"Jun 10, 2020",53.45,53.85,54.25,52,2.60M,-1.75%
"Jun 09, 2020",54.4,55.5,55.7,51.7,2.09M,-5.39%
"Jun 08, 2020",57.5,55,57.7,54.8,2.94M,6.98%
"Jun 05, 2020",53.75,52.9,54.5,52.1,2.79M,4.47%
"Jun 04, 2020",51.45,52.65,53,50.5,1.51M,-2.00%
"Jun 03, 2020",52.5,52.5,53.35,51.15,3.42M,0.48%
"Jun 02, 2020",52.25,51,52.3,50.35,1.77M,2.85%
"Jun 01, 2020",50.8,49,50.85,48.2,673.08K,6.72%
"May 29, 2020",47.6,49.1,50.4,45.15,1.33M,-2.66%
"May 28, 2020",48.9,50.5,50.6,48,1.12M,-2.20%
"May 27, 2020",50,54,54.1,49,4.01M,-7.24%
"May 26, 2020",53.9,55,56.5,53,706.33K,-0.74%
"May 22, 2020",54.3,56,57.3,53.25,1.44M,-4.74%
"May 21, 2020",57,52.85,57.1,52.8,1.32M,8.16%
"May 20, 2020",52.7,54.05,55,51.55,779.14K,-2.41%
"May 19, 2020",54,55.7,56,53.4,863.67K,-2.61%
"May 18, 2020",55.45,55.85,56.7,53,1.68M,3.64%
"May 15, 2020",53.5,55.1,58,53,1.94M,-2.55%
"May 14, 2020",54.9,52,55.4,51.5,1.04M,5.27%
"May 13, 2020",52.15,53.5,54,51.7,643.63K,-3.16%
"May 12, 2020",53.85,53.2,56.5,53.2,1.66M,0.47%
"May 11, 2020",53.6,50.4,53.85,48,1.17M,6.14%
"May 08, 2020",50.5,50.5,52.45,50,1.21M,1.81%
"May 07, 2020",49.6,48.8,50.5,47.55,1.70M,1.64%
"May 06, 2020",48.8,47,49.85,46.2,1.12M,3.83%
