Date,Price,Open,High,Low,Vol.,Change %
"Dec 04, 2020",18.49,18.62,18.7,18.38,6.52M,-1.07%
"Dec 03, 2020",18.69,18.31,18.76,18.05,11.87M,1.30%
"Dec 02, 2020",18.45,18.33,18.65,18.22,12.08M,0.65%
"Dec 01, 2020",18.33,17.91,18.33,17.74,13.72M,3.91%
"Nov 30, 2020",17.64,18.55,18.55,17.64,20.41M,-5.57%
"Nov 27, 2020",18.68,19.11,19.22,18.67,12.31M,-2.40%
"Nov 26, 2020",19.14,18.91,19.2,18.63,13.06M,2.19%
"Nov 25, 2020",18.73,19.06,19.31,18.73,16.96M,-1.73%
"Nov 24, 2020",19.06,19.16,19.42,18.7,15.49M,-0.31%
"Nov 23, 2020",19.12,19.5,19.69,18.66,15.11M,-1.95%
"Nov 20, 2020",19.5,19.07,19.62,18.99,20.54M,1.83%
"Nov 19, 2020",19.15,18.2,19.17,17.64,45.14M,5.22%
"Nov 18, 2020",18.2,17.72,18.2,17.62,25.10M,2.71%
"Nov 17, 2020",17.72,18.57,18.57,17.68,24.36M,-5.14%
"Nov 16, 2020",18.68,19.12,19.26,18.58,22.54M,-1.27%
"Nov 13, 2020",18.92,18.4,18.98,18.4,27.91M,2.88%
"Nov 12, 2020",18.39,18.09,19.03,17.67,56.57M,1.60%
"Nov 11, 2020",18.1,16.85,18.22,16.85,53.33M,7.80%
"Nov 10, 2020",16.79,16.08,16.79,16.06,28.76M,2.88%
"Nov 09, 2020",16.32,15.9,16.4,15.73,37.21M,5.15%
"Nov 06, 2020",15.52,15.45,15.61,15.36,26.59M,2.11%
"Nov 05, 2020",15.2,15.09,15.3,15.02,18.22M,1.40%
"Nov 04, 2020",14.99,14.72,14.99,14.66,15.31M,1.97%
"Nov 03, 2020",14.7,14.45,14.74,14.35,17.88M,2.30%
"Nov 02, 2020",14.37,14.23,14.43,14.22,11.19M,1.48%
"Oct 30, 2020",14.16,14.05,14.18,13.8,13.81M,-0.98%
"Oct 28, 2020",14.3,14.55,14.56,14.3,3.98M,-2.19%
"Oct 27, 2020",14.62,14.4,14.66,14.32,12.45M,0.76%
"Oct 26, 2020",14.51,14.8,14.84,14.39,15.45M,-3.07%
"Oct 23, 2020",14.97,15.13,15.2,14.8,12.45M,-1.25%
"Oct 22, 2020",15.16,15.46,15.48,15.07,16.68M,-1.94%
"Oct 21, 2020",15.46,15.63,15.66,15.38,13.68M,-0.51%
"Oct 20, 2020",15.54,15.5,15.64,15.44,22.49M,0.32%
"Oct 19, 2020",15.49,15.33,15.58,15.24,21.63M,1.57%
"Oct 16, 2020",15.25,15.03,15.25,15.03,18.43M,1.73%
"Oct 15, 2020",14.99,15.15,15.28,14.98,21.10M,-1.25%
"Oct 14, 2020",15.18,14.82,15.18,14.76,26.63M,2.57%
"Oct 13, 2020",14.8,14.84,14.88,14.73,14.41M,-0.27%
"Oct 12, 2020",14.84,14.72,14.84,14.67,16.55M,0.88%
"Oct 09, 2020",14.71,14.4,14.71,14.37,14.81M,2.29%
"Oct 08, 2020",14.38,14.54,14.58,14.3,33.52M,-0.83%
"Oct 07, 2020",14.5,14.68,14.76,14.46,24.06M,-1.49%
"Oct 06, 2020",14.72,14.95,14.96,14.7,18.01M,-1.21%
"Oct 05, 2020",14.9,14.86,14.97,14.86,12.84M,0.61%
"Oct 02, 2020",14.81,14.72,14.94,14.67,18.71M,-0.27%
"Oct 01, 2020",14.85,14.78,14.87,14.72,19.04M,1.23%
"Sep 30, 2020",14.67,14.45,14.71,14.38,18.72M,2.30%
"Sep 29, 2020",14.34,14.34,14.46,14.23,14.98M,0.28%
"Sep 28, 2020",14.3,14.53,14.55,14.3,12.35M,-1.65%
"Sep 25, 2020",14.54,14.85,14.85,14.52,19.86M,0.07%
"Sep 24, 2020",14.53,14.05,14.59,14.04,29.86M,2.90%
"Sep 23, 2020",14.12,13.86,14.18,13.82,22.40M,2.24%
"Sep 22, 2020",13.81,14,14.04,13.78,25.46M,-1.36%
"Sep 21, 2020",14,14.65,14.7,14,14.79M,-4.50%
"Sep 18, 2020",14.66,14.82,14.83,14.66,7.25M,-0.81%
"Sep 17, 2020",14.78,14.75,14.78,14.62,6.18M,0.00%
"Sep 16, 2020",14.78,14.86,14.87,14.71,6.63M,-0.34%
"Sep 15, 2020",14.83,14.88,14.93,14.71,9.92M,-0.13%
"Sep 14, 2020",14.85,14.89,14.94,14.83,8.55M,-0.20%
"Sep 11, 2020",14.88,14.9,14.91,14.74,9.00M,-0.13%
"Sep 10, 2020",14.9,14.88,14.95,14.77,14.07M,0.40%
"Sep 09, 2020",14.84,14.76,14.84,14.67,13.01M,0.54%
"Sep 08, 2020",14.76,14.99,15,14.69,8.72M,-1.01%
"Sep 07, 2020",14.91,14.86,14.95,14.83,6.34M,0.95%
"Sep 04, 2020",14.77,14.68,14.85,14.63,10.35M,0.48%
"Sep 03, 2020",14.7,14.94,14.99,14.7,10.32M,-1.08%
"Sep 02, 2020",14.86,15.06,15.08,14.86,12.66M,-1.39%
"Sep 01, 2020",15.07,14.96,15.07,14.67,10.90M,1.14%
"Aug 31, 2020",14.9,15.45,15.46,14.9,17.25M,-3.62%
"Aug 28, 2020",15.46,15.82,15.83,15.44,10.89M,-2.28%
"Aug 27, 2020",15.82,15.84,15.86,15.69,7.60M,0.76%
"Aug 26, 2020",15.7,15.7,15.86,15.52,8.87M,-0.63%
"Aug 25, 2020",15.8,16.06,16.18,15.52,15.86M,-1.37%
"Aug 24, 2020",16.02,15.77,16.13,15.75,18.49M,2.04%
"Aug 21, 2020",15.7,15.65,15.85,15.36,38.15M,1.49%
"Aug 20, 2020",15.47,15.69,15.69,15.2,25.16M,-1.59%
"Aug 19, 2020",15.72,15.3,15.77,15.13,32.18M,3.49%
"Aug 18, 2020",15.19,14.82,15.19,14.81,30.51M,2.57%
"Aug 17, 2020",14.81,14.83,14.95,14.71,13.64M,0.07%
"Aug 14, 2020",14.8,14.91,15.01,14.73,22.62M,-1.33%
"Aug 13, 2020",15,15.31,15.46,14.95,24.17M,-1.64%
"Aug 12, 2020",15.25,15.17,15.35,14.97,25.86M,0.53%
"Aug 11, 2020",15.17,14.79,15.26,14.77,19.13M,3.20%
"Aug 10, 2020",14.7,14.93,14.93,14.39,18.11M,-2.00%
"Aug 07, 2020",15,14.75,15.05,14.32,12.40M,1.35%
"Aug 06, 2020",14.8,15.66,15.67,14.8,17.68M,-6.21%
"Aug 05, 2020",15.78,16.08,16.15,15.53,12.01M,-1.38%
"Aug 04, 2020",16,16.34,16.68,15.53,13.85M,-1.05%
"Jul 30, 2020",16.17,16.65,16.68,16.17,4.60M,-2.88%
"Jul 29, 2020",16.65,16.99,17.06,16.45,7.62M,-1.48%
"Jul 28, 2020",16.9,17.46,17.5,16.82,8.59M,-3.26%
"Jul 27, 2020",17.47,17.53,17.62,17.45,3.03M,0.11%
"Jul 24, 2020",17.45,17.48,17.54,17.3,3.77M,-0.74%
"Jul 23, 2020",17.58,17.48,17.69,17.43,4.06M,1.03%
"Jul 22, 2020",17.4,17.51,17.64,17.4,4.58M,-0.40%
"Jul 21, 2020",17.47,17.76,17.92,17.33,11.86M,-0.74%
"Jul 20, 2020",17.6,17.64,17.73,17.55,5.09M,-0.17%
"Jul 17, 2020",17.63,17.66,17.66,17.48,5.32M,0.06%
"Jul 16, 2020",17.62,17.6,17.68,17.53,7.02M,0.97%
"Jul 14, 2020",17.45,17.61,17.61,17.29,6.61M,-1.08%
"Jul 13, 2020",17.64,17.4,17.67,17.26,7.17M,2.92%
"Jul 10, 2020",17.14,17.26,17.37,16.92,8.58M,-1.49%
"Jul 09, 2020",17.4,18,18.11,17.36,9.38M,-2.74%
"Jul 08, 2020",17.89,18.05,18.2,17.89,8.81M,-0.67%
"Jul 07, 2020",18.01,17.72,18.08,17.6,12.73M,1.64%
"Jul 06, 2020",17.72,17.6,17.77,17.59,6.47M,1.55%
"Jul 03, 2020",17.45,17.8,17.82,17.43,8.00M,-1.80%
"Jul 02, 2020",17.77,17.6,17.88,17.58,9.11M,1.43%
"Jul 01, 2020",17.52,18.14,18.25,17.51,11.54M,-2.67%
"Jun 30, 2020",18,17.76,18.17,17.64,14.13M,1.47%
"Jun 29, 2020",17.74,17.24,17.75,17.24,7.35M,1.84%
"Jun 26, 2020",17.42,17.4,17.49,17.27,4.33M,0.93%
"Jun 25, 2020",17.26,17.09,17.29,16.91,4.35M,0.94%
"Jun 24, 2020",17.1,17.47,17.5,17.1,4.75M,-2.23%
"Jun 23, 2020",17.49,17.5,17.66,17.45,5.22M,0.17%
"Jun 22, 2020",17.46,17.37,17.71,17.36,11.30M,1.16%
"Jun 19, 2020",17.26,17.12,17.42,17.03,11.34M,1.35%
"Jun 18, 2020",17.03,17.08,17.14,16.91,6.22M,-0.29%
"Jun 17, 2020",17.08,17.42,17.5,17.05,6.87M,-1.90%
"Jun 16, 2020",17.41,17.45,17.59,17.32,6.57M,0.81%
"Jun 15, 2020",17.27,17.13,17.34,16.76,8.98M,0.52%
"Jun 12, 2020",17.18,16.83,17.32,16.65,6.22M,1.36%
"Jun 11, 2020",16.95,17.19,17.21,16.85,5.45M,-1.45%
"Jun 10, 2020",17.2,17.58,17.65,17.2,8.24M,-1.71%
"Jun 09, 2020",17.5,18,18.1,17.5,6.58M,-2.56%
"Jun 08, 2020",17.96,17.86,18.32,17.66,9.10M,0.62%
"Jun 05, 2020",17.85,17.58,17.85,17.29,9.06M,1.54%
"Jun 04, 2020",17.58,17.85,17.89,17.46,5.80M,-1.35%
"Jun 03, 2020",17.82,17.7,17.86,17.55,6.10M,2.41%
"Jun 02, 2020",17.4,16.84,17.4,16.82,10.96M,4.00%
"Jun 01, 2020",16.73,16.23,16.9,16.23,6.93M,3.66%
